Species 	MARP1	MARP2	MARP3	MARP4	MARP5	ABRP1	ABRP2	ABRP3	ABRP4	ABRP5	MAIP4	MAIP5	JUNP4	JUNP5	SETP4	SETP5	OUTP5	NOVP5	DEZP5	MAIP1	JUNP1	SETP1	OUTP1	OUTP3	OUTP4	NOVP1	DEZP1	MAIP2	MAIP3	JUNP2	JUNP3	SETP2	SETP3	OUTP2	NOVP2	NOVP3	NOVP4	DEZP2	DEZP3	DEZP4
Mougeotia sp.	14439,72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7219,86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7219,86	0	0	0	0	0	0	0
Staurastrum elongatum	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	21659,58	4813,24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	0
Staurastrum johnsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4813,24	24066,2	7219,86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	0
Staurastrum margaritaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	2406,62	2406,62	0	2406,62	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	2406,62	0	0	0	0	0	0	2406,62
Staurastrum setigerum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staurastrum sp. 	2406,62	0	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	2406,62	0	33692,68	0	0	0	0	0	0	0	0	0	0	0	0	4813,24	0	0	0	0	0	0	0	0	0
Staurodesmus triangulare	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staurastrum cyrtocerum var. unguiculatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9626,48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlorella sp.	0	0	0	0	0	0	2406,62	0	0	0	12033,1	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	4813,24	0	0	0	0	0	0	0	0	0	0	0	0
Coelastrum astroideum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14439,72	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19252,96	0	0	0	2406,62	0	0	0
